brand,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(cc),max_power(bhp),seats,selling_price
Maruti,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,450000
Skoda,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0,370000
Honda,2006,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0,158000
Hyundai,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,225000
Maruti,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0,130000
Hyundai,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,440000
Maruti,2007,175000,LPG,Individual,Manual,First Owner,15.57,1061.0,57.5,5.0,96000
Maruti,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,45000
Toyota,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0,350000
Ford,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0,200000
Renault,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,500000
Maruti,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,92000
Maruti,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,280000
Maruti,2007,80000,Petrol,Individual,Manual,Second Owner,19.21963068181816,980.0511363636364,61.32218749999984,5.0,200000
Maruti,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,180000
Mahindra,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0,400000
Maruti,2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,778000
Hyundai,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,500000
Maruti,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,150000
Hyundai,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,680000
Mahindra,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,174000
Honda,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,950000
Maruti,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,525000
Maruti,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,600000
Tata,2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,500000
Maruti,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,575000
Maruti,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,275000
Chevrolet,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,300000
Maruti,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,220000
Maruti,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,254999
Maruti,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,670000
Fiat,2003,50000,Petrol,Individual,Manual,Second Owner,15.85,1270.0,78.5,5.0,70000
Maruti,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,150000
Hyundai,2018,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,730000
Maruti,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,650000
